primary_school,full_service_restaurant,hospital,large_hotel,large_office,medium_office,midrise_apartment,outpatient,supermarket,strip_mall,standalone_retail,small_office,small_hotel,secondary_school,quick_service_restaurant,warehouse
165.5120196,34.4525889,1491.916628,287.0792008,1361.993421,153.2654041,20.92687424,233.9211628,258.1122756,49.52999719,57.7511088,12.12783003,71.98051738,444.3557619,20.76860639,67.05299452
173.8240841,41.98032398,1499.5775,242.8533935,1386.838436,145.5795573,17.90961907,233.8326765,254.9719007,49.52999719,57.71738788,12.12783003,53.78046759,487.0393868,25.81223961,67.05299452
179.059289,42.72400044,1488.901023,263.7491956,1417.775602,145.6455234,17.99081272,234.2519784,286.0774265,49.52999719,57.68247739,12.12783003,53.95127455,543.6114748,26.96223392,67.05299452
182.5584837,42.14948502,1441.591395,283.5080573,1384.01316,150.1205384,17.62488328,221.2947389,275.073991,49.52999719,57.63536404,11.57782467,54.29813341,590.1629077,26.17040824,60.56017025
176.081212,34.53948516,1491.746468,265.6315179,1429.585446,142.1281349,17.33693629,232.8965559,270.1944616,49.52999719,57.59586028,12.14360106,54.6199426,568.0462224,25.89398072,67.05299452
168.6494603,34.48774778,1506.521998,228.4106643,1403.695135,134.5538561,17.23173682,233.4321285,258.4924452,49.52999719,57.59235612,12.12783003,54.05463484,489.694455,20.8303353,67.05299452
164.5468463,34.45018447,1499.701907,217.7815594,1364.682046,131.4288799,18.59895381,233.7762892,251.0395137,49.52999719,57.60615564,12.12783003,53.64689764,437.1557921,20.7796838,67.05299452
167.6840103,43.98235053,1507.753885,247.7505977,1389.08858,144.8707562,28.74939794,239.8913976,255.1159347,55.27249719,61.78188684,13.27933003,60.54315888,440.4519499,21.9404448,71.51449452
128.7020926,46.08840704,1508.788664,292.737044,1248.814367,147.80136,37.1635724,246.3013465,259.6971794,61.01499719,65.96324985,10.03545202,75.87620641,369.6457852,28.19249685,29.96915214
128.710549,46.08771356,1234.460511,364.940881,1017.788606,118.758021,39.21397402,152.6987229,255.4005932,49.17020798,53.32366331,8.380771047,83.50835573,369.6670842,28.18700594,16.92747326
128.7119182,38.58838324,1225.03029,377.4010928,988.8541713,118.7852334,38.26102886,154.1355519,234.5285201,49.17020798,53.37171167,8.380771047,86.90101981,369.6375407,28.1867526,16.810507
128.7066692,38.58280466,1092.649042,408.3287698,847.8453356,112.3994693,37.83582012,121.4661739,208.9794587,44.6227203,48.43754992,7.830765685,96.87240377,369.6249144,23.18426874,17.40904918
55.48027978,38.54850081,1058.628903,398.9755098,847.5537773,114.9602815,32.3872569,88.97508595,152.6439397,22.37764918,20.69360682,7.830765685,91.94923858,117.6519751,23.15581169,16.87949817
55.51370535,38.54172342,994.0209626,320.8272978,349.3568812,41.61660021,25.50977287,77.46134877,103.7776512,15.10699921,12.56968366,5.053026812,65.11683463,117.718485,23.15365768,17.35693528
56.24597213,39.30089758,994.0386355,230.6069224,299.9921219,38.9361842,19.66901839,75.50243584,136.7817863,15.10699921,12.56968366,4.778024131,43.0825287,118.6869372,24.29907515,16.87940157
55.5378571,22.58892856,983.1023765,128.9193064,287.7699257,38.9361842,16.01145967,76.08869491,108.3758255,15.10699921,12.56968366,4.778024131,37.38590789,117.7727837,13.86336864,17.37312499
55.53821421,14.81174876,986.5372501,131.4280155,287.7699258,38.9361842,15.44024635,70.90124506,100.589743,15.10699921,12.56968366,4.778024131,35.50197946,117.7782467,9.64646767,16.87202535
55.552024,14.85412438,992.7118482,129.2538102,287.769926,38.9361842,15.1271929,80.72221545,101.0278518,15.10699921,12.56968366,4.778024131,33.49881947,117.8094873,9.69174037,17.27161285
55.56438565,14.8819095,999.934325,133.3963922,287.769926,38.9361842,14.95834196,73.84676533,101.7040202,15.10699921,12.56968366,4.778024131,33.46792229,117.8366809,9.71984523,16.69732906
55.78638644,15.04136678,1093.804857,172.9365092,299.9921235,38.9361842,17.03504043,124.8560083,108.6222527,15.10699921,12.56968366,4.778024131,34.97193683,118.2811068,9.878884195,17.06877651
55.77189389,22.76459741,1085.588651,171.0752627,349.3583564,41.61660021,21.54136244,151.1550202,108.7464345,15.10699921,12.56968366,5.053026812,42.79273621,118.2524483,13.88118678,16.63635867
64.19218991,38.73277383,1318.221821,344.8826782,856.7561396,125.7751636,26.82153336,207.5021517,159.760942,23.70960729,26.27697184,7.296298455,75.49863433,200.0768065,28.35059804,24.03340033
123.0985371,43.02967639,1427.186938,404.8765246,953.9256669,120.0583432,26.1592799,227.2761476,165.6819445,23.3235906,28.55870464,6.845437714,91.94786045,357.87004,26.41444756,38.57480616
