dispatcher,reopt,original_load
1038.39,955.13,1175.29
886.40,888.5,888.5
861.98,864.08,864.08
675.90,493.962,675.9
640.34,640.34,640.34
384.61,384.61,384.61
322.79,322.79,322.79
310.56,310.56,310.56
310.56,310.56,310.56
310.56,310.56,310.56
310.56,310.56,310.56
323.92,323.92,323.92
386.13,386.13,386.13
465.92,465.92,465.92
494.74,494.739,588.31
895.45,895.449,1275.58
318.55,320.647,1238.81
0.00,0,1189.91
0.00,0,1190.32
0.00,0,1141.45
0.00,0,1191.51
0.03,0,1191.23
286.71,469.184,1190.18
879.61,946.321,1238.73
1038.39,1040.49,1117.13
888.52,888.52,888.52
864.10,864.1,864.1
662.70,664.8,664.8
640.38,640.38,640.38
384.61,384.61,384.61
322.79,322.79,322.79
310.56,310.56,310.56
310.56,310.56,310.56
310.56,310.56,310.56
310.56,310.56,310.56
322.79,322.79,322.79
386.13,386.13,386.13
468.08,468.08,468.08
547.99,547.989,588.3
952.68,952.677,1275.58
369.10,357.628,1238.81
1.51,0,1189.9
0.00,0,1190.29
59.03,119.973,1140.21
0.15,0,1191.96
198.18,188.716,1225.55
487.62,305.679,1267.93
957.14,960.992,1312.3
1038.39,917.618,1117.1
886.39,888.49,888.49
864.06,864.06,864.06
662.66,664.76,664.76
640.34,640.34,640.34
384.61,384.61,384.61
322.79,322.79,322.79
260.72,260.72,260.72
260.72,260.72,260.72
260.72,260.72,260.72
260.72,260.72,260.72
273.32,273.32,273.32
299.28,299.28,299.28
465.88,465.88,465.88
375.92,375.922,438.79
325.31,325.31,788.36
0.37,0,740.47
0.00,0,702.68
0.83,0,691.53
1.34,0,726.32
2.42,0,771.7
2.53,15.4247,461.75
163.46,209.606,479.04
423.78,427.977,523.01
455.70,457.797,466.36
368.62,370.72,370.72
342.09,346.28,346.28
342.09,346.28,346.28
309.26,321.84,321.84
297.39,297.39,297.39
264.55,272.94,272.94
258.62,260.72,260.72
258.62,260.72,260.72
246.80,261.48,261.48
262.24,262.24,262.24
262.26,274.84,274.84
273.74,298.91,298.91
346.09,166.252,348.19
255.34,255.337,320.92
0.00,0,311.02
0.00,0,273.97
0.00,0,223.57
0.00,0,223.57
0.00,0,223.57
0.00,0,223.57
0.00,0,223.57
0.00,0,223.57
51.27,51.2738,272.46
310.89,310.888,339.92
370.72,370.72,370.72
346.28,346.28,346.28
346.28,346.28,346.28
322.97,322.97,322.97
298.52,298.52,298.52
274.46,274.46,274.46
312.45,312.45,312.45
312.08,312.08,312.08
312.45,312.45,312.45
312.08,312.08,312.08
324.68,324.68,324.68
386.13,386.13,386.13
466.05,466.05,466.05
566.50,566.499,588.43
968.33,1040.49,1275.66
1032.55,961.595,1238.93
627.49,627.491,1189.96
2.01,0,1226.72
0.00,0,1235.15
0.00,0,1299.94
209.06,209.061,1311.65
441.44,441.439,1324.93
935.65,936.594,1363.51
1040.49,1040.49,1199.96
923.94,923.94,923.94
864.09,864.09,864.09
664.78,664.78,664.78
640.36,640.36,640.36
384.61,384.61,384.61
325.32,322.79,322.79
310.56,310.56,310.56
310.56,310.56,310.56
351.02,310.56,310.56
351.02,310.56,310.56
325.32,322.79,322.79
412.43,384.61,384.61
473.39,465.8,465.8
584.43,588.26,588.26
1040.49,1040.49,1283.02
1012.06,1012.06,1238.89
898.18,898.178,1189.96
789.40,769.652,1212.86
891.29,862.272,1231.96
946.92,940.16,1304
946.92,944.278,1309.58
1040.49,1040.49,1315.09
1040.49,1040.49,1354.2
1040.49,1040.49,1199.62
949.15,949.15,949.15
908.65,908.65,908.65
733.67,733.67,733.67
711.40,711.4,711.4
384.61,384.61,384.61
325.32,322.79,322.79
318.15,310.56,310.56
318.15,310.56,310.56
318.15,310.56,310.56
318.15,310.56,310.56
325.32,322.79,322.79
392.20,384.61,384.61
496.05,465.7,465.7
560.88,599.35,599.35
1032.90,1032.64,1275.55
1040.49,1040.49,1282.04
551.88,552.627,1266.73
1040.49,1040.49,1282.25
1029.74,1029.74,1237.14
693.08,693.083,1281.66
653.79,653.792,1269.73
666.29,667.288,1236.44
1040.49,1040.49,1238.76
