load,pv_cf
386.14,0
445.49,0
578.02,0.1058
1275.53,0.3169
1250.33,0.4856
1202.53,0.6379
1270.33,0.7292
1261.52,0.7141
1332.29,0.6731
1341.87,0.5645
1341.92,0.3431
1383.88,0.2323
1198.18,0.0465
954.41,0
864.02,0
664.72,0
651.43,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
445.09,0
577.89,0.056
1275.5,0.1697
1238.81,0.1206
1189.86,0.4349
1189.85,0.406
1185.79,0.6934
1260.51,0.6399
1258.03,0.5947
1212.11,0.4791
1238.93,0.2639
1086.29,0.0662
888.48,0
864.08,0
664.78,0
640.36,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
445.26,0
577.88,0.0125
1295.79,0.0333
1298.85,0.0611
1288.39,0.2069
1332.64,0.7283
1297.93,0.7038
1351.81,0.6808
1347.15,0.5862
1337.61,0.3929
1347.09,0.1983
1124.57,0.0511
888.42,0
864.01,0
664.71,0
640.29,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
445.51,0
577.88,0.0998
1275.46,0.272
1238.75,0.4613
1258.62,0.5327
1272.57,0.6925
1235.58,0.7145
1289.06,0.6668
1283.36,0.5847
1271.69,0.3862
1264.16,0.1823
1086.33,0.0523
888.46,0
864.05,0
664.76,0
640.34,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
445.54,0
577.93,0.0982
1275.48,0.164
1238.76,0.2453
1270.29,0.5275
1295.24,0.578
1265.98,0.7095
1311.61,0.6629
1300.47,0.3813
1298.92,0.4567
1340.4,0.1812
1173.92,0.0321
912.78,0
864.02,0
664.72,0
640.32,0
384.61,0
322.79,0
260.72,0
260.72,0
260.72,0
260.72,0
272.94,0
299.29,0
445.35,0
439.57,0.0189
777.14,0.0435
740.4,0.2234
770.82,0.3612
788.38,0.6379
802.15,0.6547
816.49,0.6084
484.05,0.2012
480.06,0.2637
515.7,0.0751
396.21,0.0247
370.72,0
346.28,0
346.28,0
321.84,0
297.39,0
272.94,0
260.72,0
260.72,0
261.1,0
262.23,0
274.46,0
299.29,0
327.26,0
311.02,0.0409
310.64,0.1722
272.46,0.1
223.57,0.1316
223.57,0.3519
223.57,0.1554
223.57,0.3999
223.57,0.3882
223.57,0.3344
272.46,0.1921
309.13,0.0269
370.72,0
346.28,0
348.17,0
323.35,0
299.28,0
274.46,0
312.47,0
312.1,0
312.51,0
312.13,0
324.78,0
386.21,0
435.58,0
578.26,0.1219
1279.42,0.2433
1239.04,0.5066
1190.07,0.6042
1190.07,0.6614
1140.29,0.7014
1190.08,0.6498
1189.96,0.623
1195.69,0.4813
1238.85,0.2809
1076.19,0.0769
888.65,0
864.21,0
664.89,0
651.58,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
440.61,0.0022
578,0.1371
1275.57,0.3607
1265.41,0.5401
1259.64,0.6589
1280.09,0.713
1251.05,0.7332
1318.54,0.6803
1326.65,0.6112
1310.09,0.474
1345.72,0.2632
1146.58,0.0749
888.45,0
864.05,0
664.74,0
640.32,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
437.15,0
577.91,0.0805
1275.47,0.1696
1293.55,0.4764
1291.67,0.6139
1290.29,0.6971
1244.85,0.731
1260.8,0.6774
1212.15,0.5597
1189.87,0.3582
1238.76,0.187
1076.09,0.0408
888.55,0
864.12,0
664.81,0
640.38,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.99,0
435.05,0
578,0.0419
1275.59,0.0634
1238.86,0.1045
1189.87,0.3317
1269.77,0.634
1235.65,0.5255
1282.14,0.4978
1283.17,0.5214
1282.02,0.2445
1276.18,0.2418
1076.05,0.0605
888.51,0
864.09,0
664.78,0
640.35,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
434.93,0
577.89,0.0191
1275.48,0.0545
1238.77,0.0883
1260.35,0.1384
1281.25,0.1561
1237.29,0.1621
1299.69,0.1525
1299.38,0.1301
1293,0.095
1327.17,0.0423
1099.06,0.0293
888.44,0
864.02,0
664.72,0
640.31,0
384.61,0
322.79,0
260.72,0
260.72,0
260.72,0
260.72,0
272.94,0
297.39,0
434.94,0
428.4,0.0948
788.26,0.2877
820.56,0.4748
791.7,0.6149
796.31,0.6982
803.81,0.7269
810.88,0.6448
473.73,0.559
455.94,0.3717
489.72,0.199
374.91,0.0458
370.72,0
346.28,0
346.28,0
321.84,0
297.39,0
272.94,0
260.72,0
260.72,0
261.1,0
274.83,0
298.91,0
348.17,0
341.45,0.0062
311.02,0.1485
273.59,0.3729
223.57,0.5559
223.57,0.6705
223.57,0.7364
223.57,0.7327
223.57,0.6949
223.57,0.5783
272.46,0.465
309.13,0.2733
309.13,0.0722
346.28,0
346.28,0
322.21,0
299.27,0
274.46,0
262.61,0
312.08,0
312.46,0
312.1,0
324.72,0
386.21,0
466.2,0
598.78,0.0064
1275.65,0.1457
1238.85,0.3598
1189.9,0.5464
1213.15,0.651
1236.99,0.684
1320.08,0.5722
1319.25,0.6326
1305.03,0.6181
1327.7,0.4669
1110.27,0.2636
826.84,0.0617
864.03,0
664.75,0
640.34,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
385.74,0
465.82,0
598.54,0.0038
1275.61,0.1145
1238.9,0.3094
1190,0.4756
1190.02,0.6152
1140.2,0.6925
1190.02,0.4921
1190.01,0.6259
1190.02,0.5242
1238.87,0.4343
1076.17,0.1886
827.04,0.048
853.97,0
664.92,0
640.49,0
384.61,0
322.79,0
310.56,0
311.32,0
312.08,0
312.46,0
324.3,0
386.52,0
466.13,0
598.72,0.0095
1275.68,0.0898
1238.9,0.3293
1189.93,0.5018
1189.9,0.6321
1140.07,0.6953
1189.89,0.4651
1189.85,0.4674
1189.82,0.334
1238.71,0.2331
1076.03,0.2173
826.88,0.0362
853.84,0
664.81,0
651.51,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
312.45,0
324.3,0
386.51,0
466.1,0
598.74,0.0041
1275.79,0.0644
1239.08,0.1647
1190.16,0.0942
1190.15,0.3946
1140.32,0.4068
1190.04,0.2979
1189.9,0.4809
1189.86,0.5008
1238.75,0.283
1076.09,0.2178
826.96,0.062
853.92,0
664.88,0
640.46,0
384.61,0
322.79,0
310.56,0
310.56,0
310.94,0
312.46,0
324.31,0
386.52,0
466.1,0
598.77,0.0076
1275.64,0.1327
1238.86,0.3167
1189.92,0.5053
1189.89,0.6048
1140.06,0.743
1189.88,0.6953
1190.18,0.6536
1190,0.5167
1238.73,0.2101
1076.05,0.0803
826.85,0.0365
853.79,0
664.77,0
651.49,0
384.61,0
322.79,0
310.56,0
260.72,0
260.72,0
260.72,0
273.32,0
299.28,0
465.9,0
449.08,0.0074
777.26,0.1061
751.62,0.1672
691.53,0.3549
691.5,0.3028
691.49,0.4816
720.48,0.3409
438.84,0.5125
447.33,0.5008
487.24,0.462
413.17,0.2912
309.13,0.0781
336.01,0
346.28,0
321.84,0
297.39,0
272.94,0
260.72,0
260.72,0
261.86,0
262.62,0
274.46,0
299.31,0
347.83,0
331.62,0.0112
310.66,0.1601
