original_load,net_load,pv_cf,reopt_grid_to_load,python_dispatcher,original_load_hold
7611,7611,0,310.56,3.37E+02,310.56
7612,7612,0,322.79,3.49E+02,322.79
7613,7613,0,384.61,4.11E+02,384.61
7614,7614,0,653.54,6.80E+02,653.54
7615,7389.217031,0.103867,775.9,7.07E+02,775.9
7616,7534.104737,0.0376743,1182.68,1.14E+03,1476.8
7617,7457.565057,0.0733449,1095.59,1.11E+03,1446.97
7618,7419.087872,0.0915056,424.344,4.09E+02,1403.83
7619,7214.341846,0.186155,1032.06,6.48E+02,1408.58
7620,7402.976455,0.0998374,395.526,3.65E+02,1369.59
7621,7377.65297,0.111947,1107.93,1.11E+03,1426.99
7622,7486.465006,0.0623502,787.92,7.87E+02,1431.04
7623,7534.18867,0.0408559,1121.1,1.14E+03,1430.56
7624,7624,0,1182.68,1.14E+03,1498.44
7625,7625,0,1182.68,1.14E+03,1371.07
7626,7626,0,1110.63,1.11E+03,1110.63
7627,7627,0,1082.47,1.11E+03,1082.47
7628,7628,0,881.01,9.07E+02,881.01
7629,7629,0,853.86,8.80E+02,853.86
7630,7630,0,384.61,4.11E+02,384.61
7631,7631,0,322.79,3.49E+02,322.79
7632,7632,0,310.56,3.37E+02,310.56
7633,7633,0,310.56,3.37E+02,310.56
7634,7634,0,310.56,3.37E+02,310.56
7635,7635,0,310.56,3.37E+02,310.56
7636,7636,0,322.79,3.49E+02,322.79
7637,7637,0,384.61,4.11E+02,384.61
7638,7638,0,661.98,6.88E+02,661.98
7639,7418.199312,0.101575,515.031,5.30E+02,766.94
7640,7217.653879,0.194292,875.425,8.76E+02,1466.62
7641,6965.766172,0.310628,573.899,5.64E+02,1434.52
7642,6486.571684,0.531532,641.732,6.36E+02,1388.91
7643,6352.937066,0.593468,89.6997,3.19E-01,1387.21
7644,7132.420621,0.235342,50.0637,2.16E+01,1338.18
7645,7292.684053,0.162076,879.787,4.67E+02,1386.22
7646,7474.837785,0.0787398,729.88,7.54E+02,1388.64
7647,7600.829777,0.0212397,1152.3,1.14E+03,1386.9
7648,7648,0,1182.68,1.14E+03,1451.69
7649,7649,0,1182.68,1.14E+03,1326.04
7650,7650,0,1075.76,1.13E+03,1075.76
7651,7651,0,1049.87,1.10E+03,1049.87
7652,7652,0,848.79,9.01E+02,848.79
7653,7653,0,821.24,8.74E+02,821.24
7654,7654,0,384.61,4.37E+02,384.61
7655,7655,0,322.79,3.75E+02,322.79
7656,7656,0,310.56,3.63E+02,310.56
7657,7657,0,310.56,3.63E+02,310.56
7658,7658,0,310.56,3.63E+02,310.56
7659,7659,0,310.56,3.63E+02,310.56
7660,7660,0,322.79,3.75E+02,322.79
7661,7661,0,384.61,4.37E+02,384.61
7662,7662,0,644.02,6.96E+02,644.02
7663,7530.859782,0.0607885,753.78,7.23E+02,753.78
7664,7190.74636,0.217711,1182.68,1.14E+03,1452.87
7665,6833.4895,0.38252,1176.44,1.14E+03,1423.97
7666,7147.036324,0.238739,1069.46,1.11E+03,1376.84
7667,6518.15386,0.528504,54.6629,5.08E+01,1378.23
7668,6952.447086,0.329176,552.496,1.29E+02,1329.19
7669,6902.572173,0.35258,853.96,4.90E+02,1379.37
7670,7396.976662,0.125599,1002.72,1.06E+03,1382.25
7671,7599.609915,0.0328416,1075.33,1.11E+03,1383.54
7672,7672,0,1182.68,1.14E+03,1454.11
7673,7673,0,1182.68,1.14E+03,1334.07
7674,7674,0,1085.64,1.11E+03,1085.64
7675,7675,0,1061.88,1.11E+03,1061.88
7676,7676,0,863.66,9.16E+02,863.66
7677,7677,0,840.64,8.93E+02,840.64
7678,7678,0,384.61,4.37E+02,384.61
7679,7679,0,322.79,3.75E+02,322.79
7680,7680,0,310.56,3.63E+02,310.56
