load,pv_cf
1022.83,0
816.73,0
792.01,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
343.72,0
386.29,0
594.75,0.0262
715.88,0.2161
1419.39,0.4555
1401.66,0.6506
1359.72,0.7725
1362,0.8308
1313.85,0.8584
1364.83,0.7885
1369.68,0.5829
1377.92,0.4469
1418.76,0.233
1245.44,0.0423
1053.07,0
1026.39,0
821.43,0
784.69,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
351.32,0
372.4,0
451.58,0
599.17,0.0178
720.78,0.179
1419.89,0.1893
1410.32,0.2992
1371.3,0.1948
1416.82,0.2688
1418,0.2209
1499.09,0.18
1503.44,0.1898
1499.16,0.1214
1545.83,0.0752
1355.29,0.0119
1147.68,0
1116.2,0
911.39,0
882.2,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
663.04,0.0081
780.21,0.0631
1482.81,0.1542
1483.04,0.2229
1468.25,0.2498
1458.24,0.2668
1383.54,0.2905
1415.15,0.2345
1404.22,0.2126
1391.55,0.4151
1429.75,0.2109
1246.73,0.0372
1040.34,0
988.56,0
771.92,0
735.46,0
384.61,0
322.79,0
260.72,0
260.72,0
261.14,0
262.8,0
274.62,0
299.49,0
569.34,0.0011
515.75,0.0218
849.54,0.0409
822.23,0.1905
778.51,0.1987
784.92,0.5291
794.94,0.5812
814.81,0.5312
490.51,0.4547
495.96,0.2687
544.28,0.109
466.97,0.02
370.72,0
346.28,0
350.39,0
338.91,0
299.08,0
275.07,0
262.48,0
262.92,0
262.54,0
297.65,0
431.1,0
457.45,0
470.73,0.0058
425.05,0.0568
419.44,0.1499
343.04,0.1555
372.9,0.7483
225.75,0.7629
225.32,0.3415
225.71,0.7232
225.29,0.2773
274.6,0.406
310.85,0.1819
311.27,0.0279
460.01,0
494.57,0
438.66,0
434.65,0
380.27,0
392.68,0
414.13,0
448.09,0
431.67,0
459.13,0
504.36,0
593.31,0
600.38,0.025
1324.97,0.1765
1301.4,0.296
1263.77,0.4382
1283.71,0.5871
1253.87,0.5637
1319.89,0.4385
1331.03,0.5546
1338.24,0.5853
1384.34,0.3971
1216.03,0.1991
951.49,0.0376
955.54,0
738.26,0
708.75,0
384.61,0
322.79,0
311.4,0
312.23,0
312.69,0
312.27,0
324.96,0
443.89,0
602.86,0
599.09,0.0239
1361.55,0.1697
1326.86,0.3964
1318.74,0.5455
1333.32,0.7061
1294.16,0.6812
1346.65,0.7024
1362.81,0.7727
1362.2,0.4931
1416.07,0.2435
1259.17,0.0711
1012.1,0.0176
1050.87,0
853.08,0
830.14,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
669.2,0
794.74,0.0074
1463,0.0614
1417.99,0.3074
1362.64,0.4827
1362.86,0.6534
1290.72,0.7229
1328.92,0.7642
1328.17,0.4285
1329.96,0.4488
1378.87,0.1534
1215.61,0.1054
964.63,0.0296
989.61,0
765.51,0
726.95,0
384.61,0
322.79,0
310.56,0
311.4,0
312.23,0
312.67,0
324.48,0
386.77,0
600.44,0
683.11,0.0134
1348.7,0.1522
1358.78,0.3612
1337.74,0.5086
1348.89,0.6287
1303.41,0.6022
1356.94,0.6603
1360.4,0.3989
1362.49,0.3031
1412.55,0.3017
1249.35,0.1409
998.74,0.0215
1032.48,0
828.43,0
794.45,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
419.7,0
622.94,0
738.77,0.0069
1413.35,0.044
1394.73,0.0921
1358.29,0.174
1364.01,0.1921
1318.56,0.2426
1373.29,0.2853
1377.66,0.4259
1377.15,0.1771
1423.31,0.0838
1254.42,0.0298
1001.51,0.0047
1024.46,0
832.96,0
806.06,0
384.61,0
322.79,0
310.56,0
260.72,0
260.72,0
261.56,0
274.62,0
299.55,0
602.77,0
439.41,0.0102
777.69,0.0711
740.77,0.1365
752.22,0.2031
752.16,0.443
754.61,0.8145
760.08,0.6469
432.23,0.7368
